msa,qc,qc,qcc,qcf
10180,11.25,7.5,11.25,69.25
10420,6.75,4.25,7.0,17.25
10500,6.25,3.5,6.25,63.75
10540,6.75,3.5,6.75,33.25
10580,4.5,2.25,5.25,14.25
10740,2.5,2,2.5,25.5
10780,12.25,7.75,13.75,39.25
10900,3.25,3.0,4.0,17.25
11020,6.25,2.25,2.25,34.5
11100,18.5,8.75,9.25,42.75
11180,6.75,3.0,6.75,50.75
11460,5.75,5.5,6.75,38.25
11500,12.5,6.25,12.5,63.75
11540,3.25,2,3.25,39.5
11700,2.75,2.25,3.25,26.75
12020,10.25,4.0,10.25,54.75
12060,13.25,11.75,13.25,33.25
12100,3.75,3.0,4.0,32.75
12220,18.5,13.75,18.5,69.75
12260,9.5,8.5,9.5,67.25
12420,11.0,10.25,11.25,43.5
12540,2,2,2.25,42.5
12580,3.75,3.5,4.5,11.75
12620,4.25,3.75,4.25,54.5
12700,4.0,3.25,3.25,25.25
12940,8.0,7.5,8.0,62.0
12980,4.0,2,2,27.5
13020,5.5,3.0,5.5,43.25
13140,11.25,10.5,11.25,54.75
13220,4.75,4.25,4.75,57.25
13380,11.0,5.25,12.75,67.5
13460,11.5,9.5,21.5,46.75
13740,3.75,3.5,8.5,40.5
13780,2.75,2.25,2.75,16.5
13820,12.75,12.5,14.25,53.25
13900,2.25,2,2.25,51.5
13980,2,2,2,25.0
14010,6.5,2.5,6.5,75.25
14020,6.25,3.75,6.75,41.75
14100,7.25,6.5,7.25,24.0
14260,18.5,4.5,5.0,72.25
14460,3.25,2.75,4.0,7.75
14500,3.5,2,3.5,30.75
14540,8.0,5.5,5.5,41.25
14740,6.75,4.0,6.75,32.75
14860,3.25,2.5,3.25,13.25
15180,10.25,9.25,10.25,87.5
15260,9.25,2,9.25,100.25
15380,4.75,4.25,4.75,13.75
15500,9.5,5.0,9.5,49.75
15540,5.0,4.5,5.75,71.75
15680,20.75,8.25,20.75,41.25
15940,8.25,5.75,6.25,20.25
