msa,qc,qcb,qca,qcf
10180,11.0,5.75,11.0,75.75
10420,9.75,8.75,9.75,27.75
10500,10.75,7.75,15.25,94.25
10540,9.75,6.75,9.75,50.5
10580,5.5,3.0,5.5,21.5
10740,2.75,2.5,5.5,26.25
10780,24.75,10.75,24.75,45.75
10900,5.0,4.5,5.0,27.75
11020,4.5,2.75,4.75,75.5
11100,3.5,2,3.5,84.5
11180,9.75,4.75,9.75,53.5
11460,6.0,3.25,6.0,22.25
11500,16.25,8.75,8.75,74.75
11540,13.75,7.0,7.0,40.25
11700,4.25,2.5,8.0,33.5
12020,13.75,11.75,15.25,78.25
12060,16.5,8.25,16.75,54.75
12100,5.25,4.75,3.5,39.5
12220,22.25,2,22.25,115.5
12260,8.75,7.5,8.75,85.5
12420,17.75,16.5,17.75,62.75
12540,2,2,2,55.75
12580,5.25,2.5,6.5,16.75
12620,6.25,5.0,6.25,37.5
12700,2.75,2,2.75,33.25
12940,24.0,12.25,24.0,73.75
12980,3.25,2,3.25,76.5
13020,6.75,6.25,6.75,25.75
13140,15.75,6.25,17.0,78.5
13220,9.0,7.0,9.0,44.0
13380,15.0,7.75,17.5,51.5
13460,14.25,11.75,11.75,64.5
13740,3.5,2,3.5,48.25
13780,4.25,3.75,4.25,33.5
13820,15.75,8.75,20.75,75.75
13900,3.0,2,3.0,99.75
13980,3.5,2,3.5,32.25
14010,8.75,5.75,14.25,120.75
14020,9.75,8.5,10.5,62.75
14100,7.75,5.25,7.75,25.25
14260,27.75,6.75,29.5,100.75
14460,3.25,3.0,4.5,11.5
14500,3.75,2.5,4.0,22.75
14540,11.75,7.75,11.75,56.25
14740,7.75,6.75,11.25,56.75
14860,4.75,4.25,5.0,17.75
15180,13.25,9.5,13.75,165.75
15260,18.0,11.5,18.75,105.25
15380,6.25,5.5,7.25,15.75
15500,21.0,10.0,21.0,73.0
15540,6.5,5.5,6.75,41.5
15680,17.5,10.25,17.5,62.25
15940,8.5,5.75,8.5,32.75
15980,12.25,9.75,13.75,31.25
16020,10.75,8.5,13.5,44.75
16060,10.75,8.25,8.25,63.75
16180,9.0,2,9.0,28.5
16220,22.75,2,22.75,54.75
16300,6.75,5.25,6.75,81.25
16540,5.5,5.25,12.25,68.25
16580,8.5,3.25,8.5,71.75
16620,8.5,6.5,2,22.5
16700,10.75,8.25,11.5,60.5
16740,11.75,8.75,11.75,46.25
16820,2,2,2,41.25
16860,8.75,4.5,11.25,55.5
16940,16.75,11.5,16.75,44.25
16980,6.5,6.25,7.5,25.0
17020,3.5,2.5,3.5,24.25
17140,8.25,6.5,8.25,35.0
17300,10.25,9.25,10.25,93.75
17420,26.5,15.5,30.5,54.25
17460,6.5,5.5,7.0,31.0
17660,51.75,16.5,51.75,130.25
17780,5.75,5.0,8.25,83.0
17820,10.25,2.75,10.25,50.25
17860,3.75,3.25,10.0,68.5
17900,8.75,6.0,8.75,101.25
17980,22.25,13.5,2.75,70.5
18020,8.75,2,8.75,64.25
18140,13.75,8.5,13.75,34.5
18580,11.25,8.25,11.75,76.75
18700,9.5,8.75,8.75,31.75
18880,10.25,9.75,10.25,96.75
19060,5.5,3.25,5.5,31.75
19100,15.5,11.5,30.0,48.5
19140,17.75,9.5,17.75,91.5
19180,9.5,8.25,12.0,40.25
19300,42.75,40.25,46.0,218.5
19340,4.75,4.0,4.75,38.5
19430,9.75,7.5,9.75,23.0
19460,14.75,8.75,14.75,88.25
